No,Filename
392,WADMKC_Langensari_polygon_0
393,WADMKC_Langkaplancar_polygon_0
394,WADMKC_Lebakwangi_polygon_0
395,WADMKC_Legonkulon_polygon_0
396,WADMKC_Lelea_polygon_0
397,WADMKC_Leles_polygon_0
398,WADMKC_Leles_polygon_1
399,WADMKC_Lemahabang_polygon_0
400,WADMKC_Lemahabang_polygon_1
401,WADMKC_Lemahsugih_polygon_0
402,WADMKC_Lemahwungkuk_polygon_0
403,WADMKC_Lembang_polygon_0
404,WADMKC_Lembursitu_polygon_0
405,WADMKC_Lengkong_polygon_0
406,WADMKC_Lengkong_polygon_1
407,WADMKC_Leuwigoong_polygon_0
408,WADMKC_Leuwiliang_polygon_0
409,WADMKC_Leuwimunding_polygon_0
410,WADMKC_Leuwisadeng_polygon_0
411,WADMKC_Leuwisari_polygon_0
412,WADMKC_Ligung_polygon_0
413,WADMKC_Limo_polygon_0
414,WADMKC_Lohbener_polygon_0
415,WADMKC_Losarang_polygon_0
416,WADMKC_Losari_polygon_0
417,WADMKC_Lumbung_polygon_0
418,WADMKC_Luragung_polygon_0
419,WADMKC_Maja_polygon_0
420,WADMKC_Majalaya_polygon_0
421,WADMKC_Majalaya_polygon_1
422,WADMKC_Majalaya_polygon_2
423,WADMKC_Majalengka_polygon_0
424,WADMKC_Malangbong_polygon_0
425,WADMKC_Malausma_polygon_0
426,WADMKC_Maleber_polygon_0
427,WADMKC_Mandalajati_polygon_0
428,WADMKC_Mande_polygon_0
429,WADMKC_Mandirancan_polygon_0
430,WADMKC_Mandirancan_polygon_1
431,WADMKC_Mangkubumi_polygon_0
432,WADMKC_Mangunjaya_polygon_0
433,WADMKC_Mangunreja_polygon_0
434,WADMKC_Maniis_polygon_0
435,WADMKC_Manonjaya_polygon_0
436,WADMKC_Manonjaya_polygon_1
437,WADMKC_Margaasih_polygon_0
438,WADMKC_Margahayu_polygon_0
439,WADMKC_Medansatria_polygon_0
440,WADMKC_Megamendung_polygon_0
441,WADMKC_Mekarmukti_polygon_0
442,WADMKC_Muaragembong_polygon_0
443,WADMKC_Mundu_polygon_0
444,WADMKC_Mundu_polygon_1
445,WADMKC_Mustikajaya_polygon_0
446,WADMKC_Nagrak_polygon_0
447,WADMKC_Nagreg_polygon_0
448,WADMKC_Nanggung_polygon_0
449,WADMKC_Naringgul_polygon_0
450,WADMKC_Ngamprah_polygon_0
451,WADMKC_Nusaherang_polygon_0
452,WADMKC_Nyalindung_polygon_0
453,WADMKC_Pabedilan_polygon_0
454,WADMKC_Pabuaran_polygon_0
455,WADMKC_Pabuaran_polygon_1
456,WADMKC_Pabuaran_polygon_2
457,WADMKC_Pacet_polygon_0
458,WADMKC_Pacet_polygon_1
459,WADMKC_Pacet_polygon_2
460,WADMKC_Padaherang_polygon_0
461,WADMKC_Padakembang_polygon_0
462,WADMKC_Padalarang_polygon_0
463,WADMKC_Pagaden Barat_polygon_0
464,WADMKC_Pagaden_polygon_0
465,WADMKC_Pagaden_polygon_1
466,WADMKC_Pagelaran_polygon_0
467,WADMKC_Pagerageung_polygon_0
468,WADMKC_Pakenjeng_polygon_0
469,WADMKC_Pakisjaya_polygon_0
470,WADMKC_Palabuhanratu_polygon_0
471,WADMKC_Palasah_polygon_0
472,WADMKC_Palimanan_polygon_0
473,WADMKC_Pamanukan_polygon_0
474,WADMKC_Pamarican_polygon_0
475,WADMKC_Pameungpeuk_polygon_0
476,WADMKC_Pameungpeuk_polygon_1
477,WADMKC_Pamijahan_polygon_0
478,WADMKC_Pamulihan_polygon_0
479,WADMKC_Pamulihan_polygon_1
480,WADMKC_Panawangan_polygon_0
481,WADMKC_Pancalang_polygon_0
482,WADMKC_Pancatengah_polygon_0
483,WADMKC_Pancoran Mas_polygon_0
484,WADMKC_Pangalengan_polygon_0
485,WADMKC_Pangandaran_polygon_0
486,WADMKC_Pangatikan_polygon_0
487,WADMKC_Pangatikan_polygon_1
488,WADMKC_Pangenan_polygon_0
489,WADMKC_Pangenan_polygon_1
490,WADMKC_Pangkalan_polygon_0
491,WADMKC_Panguragan_polygon_0
492,WADMKC_Panguragan_polygon_1
493,WADMKC_Panjalu_polygon_0
494,WADMKC_Panumbangan_polygon_0
495,WADMKC_Panyileukan_polygon_0
496,WADMKC_Panyingkiran_polygon_0
497,WADMKC_Parakansalak_polygon_0
498,WADMKC_Parigi_polygon_0
499,WADMKC_Parongpong_polygon_0
500,WADMKC_Parung Panjang_polygon_0
